,ORIGIN_STATE_ABR,ORIGIN_COUNTRY,DEST_COUNTRY,DEST_STATE_ABR,MONTH,PASSENGERS
70756,CA,US,BR,,6,197.0
71144,CA,US,BR,,4,204.0
71316,FL,US,BR,,5,207.0
71494,MA,US,BR,,2,211.0
71533,MA,US,BR,,5,212.0
72611,NJ,US,BR,,6,234.0
73084,FL,US,BR,,5,244.0
73539,MA,US,BR,,4,255.0
74626,MA,US,BR,,3,282.0
75445,FL,US,BR,,2,305.0
78190,FL,US,BR,,6,404.0
78821,FL,US,BR,,5,430.0
80266,FL,US,BR,,3,492.0
80752,FL,US,BR,,4,513.0
81382,FL,US,BR,,5,541.0
82232,FL,US,BR,,4,580.0
82896,FL,US,BR,,6,616.0
84185,FL,US,BR,,1,703.0
84372,CA,US,BR,,3,716.0
85377,CA,US,BR,,4,794.0
85869,FL,US,BR,,2,835.0
85966,FL,US,BR,,2,842.0
87021,CA,US,BR,,2,923.0
87828,CA,US,BR,,5,980.0
88059,FL,US,BR,,3,995.0
88172,FL,US,BR,,6,1003.0
89014,FL,US,BR,,6,1057.0
89199,FL,US,BR,,3,1069.0
90724,FL,US,BR,,4,1162.0
90747,FL,US,BR,,2,1163.0
90840,FL,US,BR,,4,1168.0
92162,FL,US,BR,,3,1242.0
92402,FL,US,BR,,2,1255.0
92465,FL,US,BR,,3,1259.0
93596,FL,US,BR,,4,1321.0
93721,CA,US,BR,,1,1328.0
95292,FL,US,BR,,2,1422.0
95975,FL,US,BR,,5,1470.0
96006,FL,US,BR,,2,1473.0
97440,FL,US,BR,,3,1579.0
97725,FL,US,BR,,4,1603.0
97963,FL,US,BR,,5,1622.0
98739,MI,US,BR,,3,1687.0
98928,FL,US,BR,,1,1704.0
99363,FL,US,BR,,5,1741.0
99924,FL,US,BR,,2,1786.0
100291,CA,US,BR,,6,1815.0
100292,FL,US,BR,,3,1815.0
100353,FL,US,BR,,2,1821.0
100471,FL,US,BR,,4,1828.0
100599,FL,US,BR,,6,1836.0
100624,FL,US,BR,,3,1838.0
100838,MI,US,BR,,4,1856.0
101029,FL,US,BR,,3,1872.0
102233,MI,US,BR,,2,1973.0
102294,FL,US,BR,,2,1979.0
102308,FL,US,BR,,1,1980.0
102596,FL,US,BR,,4,2004.0
103992,FL,US,BR,,1,2124.0
104047,FL,US,BR,,1,2128.0
104654,FL,US,BR,,2,2180.0
104796,FL,US,BR,,5,2195.0
105313,MI,US,BR,,6,2241.0
105381,FL,US,BR,,2,2247.0
105388,MI,US,BR,,1,2247.0
106589,FL,US,BR,,3,2367.0
107462,FL,US,BR,,1,2452.0
108880,FL,US,BR,,1,2597.0
109634,MI,US,BR,,5,2672.0
109969,FL,US,BR,,1,2710.0
112216,FL,US,BR,,1,2970.0
112241,FL,US,BR,,2,2973.0
112958,FL,US,BR,,4,3056.0
113354,VA,US,BR,,4,3103.0
113630,FL,US,BR,,2,3133.0
114300,VA,US,BR,,5,3207.0
114503,FL,US,BR,,2,3230.0
114516,FL,US,BR,,1,3232.0
115362,NY,US,BR,,4,3326.0
115576,FL,US,BR,,1,3348.0
115616,FL,US,BR,,5,3353.0
116166,VA,US,BR,,6,3410.0
116248,FL,US,BR,,4,3419.0
118143,FL,US,BR,,1,3622.0
118653,FL,US,BR,,2,3670.0
118818,FL,US,BR,,6,3687.0
120549,FL,US,BR,,4,3863.0
120783,NY,US,BR,,5,3889.0
120930,FL,US,BR,,3,3904.0
122083,FL,US,BR,,1,4027.0
123270,FL,US,BR,,6,4163.0
123889,NY,US,BR,,6,4242.0
124010,FL,US,BR,,5,4257.0
124269,FL,US,BR,,6,4291.0
124519,NY,US,BR,,3,4326.0
125322,NY,US,BR,,2,4437.0
125389,FL,US,BR,,5,4446.0
125654,IL,US,BR,,4,4490.0
125796,FL,US,BR,,6,4512.0
125933,VA,US,BR,,3,4533.0
127174,FL,US,BR,,3,4737.0
127248,FL,US,BR,,2,4751.0
127852,IL,US,BR,,5,4857.0
127878,FL,US,BR,,4,4862.0
127893,GA,US,BR,,4,4865.0
127971,FL,US,BR,,2,4878.0
128054,FL,US,BR,,4,4894.0
128068,NY,US,BR,,4,4896.0
128141,FL,US,BR,,3,4910.0
128152,NY,US,BR,,3,4913.0
128289,IL,US,BR,,6,4938.0
128366,NY,US,BR,,4,4951.0
128510,FL,US,BR,,6,4978.0
128892,TX,US,BR,,3,5051.0
129017,FL,US,BR,,2,5076.0
129281,IL,US,BR,,3,5129.0
129333,NY,US,BR,,1,5143.0
129347,FL,US,BR,,1,5148.0
129543,TX,US,BR,,3,5187.0
129658,CA,US,BR,,2,5211.0
129706,NY,US,BR,,2,5222.0
129834,FL,US,BR,,5,5255.0
130267,CA,US,BR,,3,5345.0
130397,GA,US,BR,,6,5376.0
130655,NY,US,BR,,1,5435.0
130705,NY,US,BR,,6,5447.0
130897,NJ,US,BR,,3,5496.0
130925,FL,US,BR,,2,5501.0
130937,GA,US,BR,,5,5504.0
130942,NY,US,BR,,5,5505.0
130960,TX,US,BR,,2,5511.0
130995,VA,US,BR,,2,5518.0
131201,FL,US,BR,,1,5568.0
131445,FL,US,BR,,1,5620.0
131478,FL,US,BR,,4,5630.0
131486,TX,US,BR,,4,5633.0
131535,NY,US,BR,,6,5644.0
131571,TX,US,BR,,4,5651.0
131597,VA,US,BR,,1,5656.0
131601,TX,US,BR,,3,5657.0
131625,CA,US,BR,,4,5663.0
131711,TX,US,BR,,5,5684.0
131815,FL,US,BR,,4,5710.0
131844,NJ,US,BR,,2,5717.0
131862,TX,US,BR,,6,5721.0
131884,CA,US,BR,,6,5726.0
132301,NY,US,BR,,3,5833.0
132338,TX,US,BR,,1,5842.0
132492,FL,US,BR,,4,5884.0
132583,TX,US,BR,,2,5909.0
132859,FL,US,BR,,3,5977.0
133032,CA,US,BR,,1,6018.0
133038,FL,US,BR,,1,6019.0
133045,NJ,US,BR,,4,6022.0
133064,NY,US,BR,,2,6027.0
133106,IL,US,BR,,2,6039.0
133472,NY,US,BR,,3,6131.0
133482,FL,US,BR,,4,6134.0
133521,FL,US,BR,,5,6144.0
133544,GA,US,BR,,4,6150.0
133586,CA,US,BR,,5,6164.0
133630,NJ,US,BR,,1,6174.0
133633,NJ,US,BR,,6,6175.0
133656,NY,US,BR,,5,6181.0
134096,FL,US,BR,,6,6299.0
134097,FL,US,BR,,1,6300.0
134128,TX,US,BR,,2,6304.0
134212,FL,US,BR,,3,6328.0
134245,FL,US,BR,,1,6337.0
134421,NY,US,BR,,1,6378.0
134702,TX,US,BR,,4,6446.0
134704,IL,US,BR,,1,6447.0
134721,FL,US,BR,,5,6452.0
134747,NJ,US,BR,,5,6457.0
134770,NY,US,BR,,2,6463.0
134819,GA,US,BR,,6,6481.0
134882,TX,US,BR,,1,6498.0
135885,FL,US,BR,,3,6786.0
135931,GA,US,BR,,3,6795.0
136069,GA,US,BR,,5,6831.0
136180,FL,US,BR,,2,6864.0
136311,TX,US,BR,,6,6913.0
136353,FL,US,BR,,5,6926.0
136377,FL,US,BR,,5,6932.0
136587,TX,US,BR,,6,6994.0
136621,GA,US,BR,,3,7004.0
136686,TX,US,BR,,5,7022.0
136946,FL,US,BR,,6,7094.0
137083,FL,US,BR,,6,7128.0
137204,FL,US,BR,,6,7170.0
137213,GA,US,BR,,2,7171.0
137356,FL,US,BR,,5,7220.0
137530,NY,US,BR,,6,7276.0
137947,GA,US,BR,,2,7394.0
138067,NY,US,BR,,4,7436.0
138319,TX,US,BR,,1,7513.0
138358,NY,US,BR,,1,7526.0
138568,GA,US,BR,,1,7590.0
138588,TX,US,BR,,5,7596.0
138641,FL,US,BR,,3,7614.0
139126,FL,US,BR,,1,7775.0
139264,GA,US,BR,,1,7822.0
139322,NY,US,BR,,2,7842.0
139492,NY,US,BR,,3,7901.0
140467,NY,US,BR,,5,8271.0
141506,NY,US,BR,,4,8723.0
141581,FL,US,BR,,2,8761.0
141689,NY,US,BR,,1,8829.0
142068,FL,US,BR,,2,9024.0
142534,NY,US,BR,,5,9269.0
143217,NY,US,BR,,6,9680.0
144220,FL,US,BR,,2,10328.0
144975,FL,US,BR,,1,10888.0
146100,FL,US,BR,,1,11849.0
146759,FL,US,BR,,3,12477.0
148453,FL,US,BR,,6,14704.0
148627,FL,US,BR,,4,14993.0
149685,FL,US,BR,,5,16829.0
150215,FL,US,BR,,1,17881.0
150287,FL,US,BR,,2,18039.0
150430,FL,US,BR,,3,18357.0
150506,FL,US,BR,,6,18510.0
150523,FL,US,BR,,4,18540.0
151276,FL,US,BR,,5,20496.0
151620,FL,US,BR,,2,21459.0
152388,FL,US,BR,,1,24132.0
152581,FL,US,BR,,1,24935.0
